+-----------+--------+-----------------+
|    Name   | Median | Fail Percentage |
|  BUS 251  |   B-   |  6.09535304768  |
|  BUS 254  |   B-   |  3.85756676558  |
|  BUS 272  |   B-   |  0.705329153605 |
|  BUS 301  |   B+   |       0.0       |
|  BUS 303  |   B    |  0.487804878049 |
|  BUS 311  |   B    |  2.89256198347  |
|  BUS 312  |   B    |  3.83815028902  |
|  BUS 314  |   B    |  0.967741935484 |
|  BUS 315  |   B    |  2.09125475285  |
|  BUS 316  |   B    |  1.66892196662  |
|  BUS 320  |   B    |  2.44252873563  |
|  BUS 321  |   B    |  0.741525423729 |
|  BUS 322  |   B    |       0.0       |
|  BUS 329  |   B    |  1.73482032218  |
|  BUS 336  |   B    |  2.98906981932  |
|  BUS 338  |   B+   |  0.176991150442 |
|  BUS 340  |   B    |       0.0       |
|  BUS 341  |   B    |  0.247524752475 |
|  BUS 342  |   B    |  1.43369175627  |
|  BUS 343  |   B    |  0.43301759134  |
|  BUS 345  |   B+   |  0.129533678756 |
|  BUS 346  |   B    |  0.229357798165 |
|  BUS 347  |   B    |  0.240673886883 |
|  BUS 360W |   B-   |  1.04474222121  |
|  BUS 361  |   B    |  0.267857142857 |
|  BUS 362  |   B+   |  0.340909090909 |
|  BUS 374  |   B    |  0.563697857948 |
|  BUS 381  |   B    | 0.0991407799075 |
|  BUS 391  |   B+   |       0.0       |
|  BUS 393  |   B    |   2.4093620927  |
|  BUS 394  |  A-/A  |       0.0       |
|  BUS 395  |   A    |       0.0       |
|  BUS 401  |   B+   |       0.0       |
|  BUS 404  |   A    |       0.0       |
|  BUS 405  |   A    |       0.0       |
|  BUS 406  |   A    |       0.0       |
|  BUS 410  |   B+   |  0.43057050592  |
|  BUS 413  |   B+   |  0.619674670798 |
|  BUS 417  |   B+   |  0.308641975309 |
|  BUS 418  |   B+   |  0.113250283126 |
|  BUS 419  |   B+   |  0.199600798403 |
|  BUS 420  |   B+   |  1.39049826188  |
|  BUS 421  |   B+   |  0.343642611684 |
|  BUS 424  |   B+   |       0.0       |
|  BUS 426  |   B+   |  0.12836970475  |
|  BUS 427  |   B+   |       0.0       |
|  BUS 430  |   B+   |       0.0       |
|  BUS 431  |   B+   |       0.0       |
|  BUS 432  |   B+   |       0.0       |
|  BUS 434  |   B+   |       0.0       |
|  BUS 435  |   B+   |       0.0       |
|  BUS 437  |   B+   |       0.0       |
|  BUS 439  |   A    |       0.0       |
|  BUS 440  |   B+   |  0.505050505051 |
|  BUS 441  |   B+   |  1.61290322581  |
|  BUS 443  |   B+   |  0.374531835206 |
|  BUS 444  |   B+   |  0.271002710027 |
|  BUS 445  |   B+   |  1.30434782609  |
|  BUS 446  |   B+   |  0.342465753425 |
|  BUS 447  |   B+   |  0.397614314115 |
|  BUS 448  |   B+   |       0.0       |
|  BUS 449  |   B+   |  0.378787878788 |
|  BUS 450  |   B+   |       0.0       |
|  BUS 453  |   B+   |  0.353356890459 |
|  BUS 459  |   B+   |       0.0       |
|  BUS 462  |   B+   |       0.0       |
|  BUS 464  |   B+   |  1.04438642298  |
|  BUS 466  |   B+   |       0.0       |
|  BUS 468  |   B+   |  0.575815738964 |
|  BUS 473  |   B+   |  0.500625782228 |
|  BUS 474  |   B+   |       0.0       |
|  BUS 475  |   B+   |       0.0       |
|  BUS 477  |   B+   |       0.0       |
|  BUS 478  |   B+   |   0.2331002331  |
|  BUS 480  |   B+   |       0.0       |
|  BUS 481  |   B+   |       0.0       |
|  BUS 482  |   B+   |       0.0       |
|  BUS 483  |   B+   |       0.0       |
|  BUS 484  |   B+   |  0.45045045045  |
|  BUS 485  |   B+   |       0.0       |
|  BUS 486  |   B+   |       0.0       |
|  BUS 487  |   B+   |       0.0       |
|  BUS 488  |   B+   |  0.396825396825 |
|  BUS 489  |   B+   |       0.0       |
|  BUS 491  |   A    |       0.0       |
|  BUS 492  |   B+   |       0.0       |
|  BUS 493  |   B+   |       0.0       |
|  BUS 494  |   A-   |       0.0       |
|  BUS 495  |   A-   |       0.0       |
|  BUS 498  |   A    |       0.0       |
|  BUS 499  |   A    |       0.0       |
|  CHEM 110 |   B-   |  4.82425913163  |
|  CHEM 111 |   B-   |  4.16666666667  |
|  CHEM 120 |   C+   |  9.09090909091  |
|  CHEM 121 |   B-   |  7.24544134259  |
|  CHEM 122 |   B-   |  4.52488687783  |
|  CHEM 126 |   B    |  0.152091254753 |
|  CHEM 180 |   B    |  2.15053763441  |
|  CHEM 191 |   B+   |       0.0       |
|  CHEM 192 |   B    |  0.990099009901 |
|  CHEM 215 |   B-   |  4.55049944506  |
|  CHEM 230 |   B-   |  2.20820189274  |
| CHEM 236W |   B    |  1.07142857143  |
|  CHEM 260 |   B-   |  1.84501845018  |
|  CHEM 266 |   B+   |  2.45398773006  |
|  CHEM 281 |   B-   |  3.09820193638  |
|  CHEM 282 |   C+   |   6.2908496732  |
|  CHEM 283 |   B    |  2.54237288136  |
|  CHEM 286 |   B    |  0.601805416249 |
|  CHEM 316 |   B    |  1.39534883721  |
|  CHEM 317 |   A-   |       0.0       |
|  CHEM 332 |   B-   |  3.13901345291  |
|  CHEM 336 |   B    |       0.0       |
|  CHEM 340 |   B    |  1.85185185185  |
|  CHEM 360 |   B    |  4.83271375465  |
|  CHEM 363 |   B    |  3.92156862745  |
| CHEM 366W |   B    |  2.27272727273  |
|  CHEM 371 |   B    |  2.15053763441  |
|  CHEM 372 |   B    |       0.0       |
|  CHEM 380 |   B    |  0.738007380074 |
|  CHEM 381 |   B+   |       0.0       |
|  CHEM 391 |   B+   |       0.0       |
|  CHEM 419 |   B+   |       0.0       |
|  CHEM 432 |   B+   |  8.33333333333  |
|  CHEM 439 |   B+   |       0.0       |
|  CHEM 440 |   B+   |       0.0       |
|  CHEM 442 |   B-   |  6.81818181818  |
|  CHEM 444 |   B    |  1.03092783505  |
|  CHEM 452 |  B/B+  |       0.0       |
|  CHEM 455 |   A-   |       0.0       |
|  CHEM 459 |   A-   |       0.0       |
|  CHEM 460 |  B-/B  |       12.5      |
|  CHEM 462 |   B    |       0.0       |
|  CHEM 464 |   A-   |  4.54545454545  |
|  CHEM 465 |   B-   |  2.22222222222  |
|  CHEM 469 |   B    |       0.0       |
|  CHEM 481 |   A    |       0.0       |
|  CHEM 482 |   A    |       0.0       |
|  CHEM 483 |   A    |       0.0       |
|  CHIN 100 |   A-   |   2.5171624714  |
|  CHIN 101 |   B+   |  2.95857988166  |
|  CHIN 151 |   B+   |       0.0       |
|  CHIN 152 |   B+   |       0.0       |
|  CHIN 153 |   A-   |       0.0       |
|  CHIN 180 |   A-   |       0.0       |
|  CHIN 181 |   B    |       0.0       |
|  CHIN 182 |   A-   |  2.32558139535  |
|  CHIN 190 |   B+   |       0.0       |
|  CHIN 191 |   B    |       0.0       |
|  CHIN 200 |   A-   |  2.94117647059  |
|  CHIN 201 |   A-   |  5.26315789474  |
|  CHIN 280 |   B+   |   3.0303030303  |
|  CHIN 281 |   B+   |  6.06060606061  |
|  CHIN 290 |   A-   |       0.0       |
|  CHIN 291 |   A-   |       0.0       |
|  CHIN 300 |   A-   |       0.0       |
